source_group,price,area_total,rooms,floor,floors_total,address,metro,metro_walk_min,kitchen_area,walls,link
3k,50000000,130.0,3,,,"3к, 130м², 4 этаж, ул. 1-я Владимирская, 3к1, Москва, квартира",Перово,20,18.0,,https://msk.etagi.com/realty/12098713/
3k,18500000,64.0,3,4,9,"3к, 64м², 4/9 этаж, ул. Шипиловский проезд, 71, Москва, квартира",Домодедовская,24,8.0,Панельные,https://msk.etagi.com/realty/12100246/
3k,67500000,79.0,3,29,52,"3к, 79м², 29/52 этаж, ул. Мичуринский проспект, 56, Москва, квартира",Мичуринский проспект,12,9.0,Монолитные,https://msk.etagi.com/realty/12038402/
3k,42000000,58.5,3,10,20,"3к, 58.5м², 10/20 этаж, ул. Большая Филёвская, 3к4, Москва, квартира",На карте Фили,5,26.64,Монолитные,https://msk.etagi.com/realty/12038941/
3k,72000000,83.4,3,8,9,"3к, 83.4м², 8/9 этаж, ул. Студенческая, 44/28, Москва, квартира",На карте Кутузовская,5,10.0,Кирпичные,https://msk.etagi.com/realty/12039197/
3k,28100000,75.7,3,2,14,"3к, 75.7м², 2/14 этаж, ул. Рублёвское шоссе, 18к1, Москва, квартира",,,8.4,Панельные,https://msk.etagi.com/realty/12039547/
3k,9000000,61.3,3,1,12,"3к, 61.3м², 1/12 этаж, ул. Бирюлёвская, 26, Москва, квартира",Покровское,32,5.9,Монолитные,https://msk.etagi.com/realty/12040505/
3k,24000000,82.0,3,12,22,"3к, 82м², 12/22 этаж, ул. Пятницкое шоссе, 12к3, Москва, квартира",До станции метро Волоколамская всего,10,12.0,Панельные,https://msk.etagi.com/realty/12041425/
3k,32500000,87.2,3,2,17,"3к, 87.2м², 2/17 этаж, ул. проспект Андропова, 13/32, Москва, квартира",в,3,26.9,Панельные,https://msk.etagi.com/realty/11982846/
3k,17500000,68.0,3,12,12,"3к, 68м², 12/12 этаж, ул. Ясеневая, 33к1, Москва, квартира",Зябликово,12,9.0,Железобетонные панели,https://msk.etagi.com/realty/11986093/
3k,28700000,76.8,3,24,31,"3к, 76.8м², 24/31 этаж, ул. Константина Федина, 13, Москва, квартира",Щёлковская,6,11.5,Монолитно-Кирпичный,https://msk.etagi.com/realty/11986192/
3k,30500000,79.0,3,12,22,"3к, 79м², 12/22 этаж, ул. Щёлковское шоссе, 61, Москва, квартира",до метро Щелковская,4,10.5,Монолитные,https://msk.etagi.com/realty/11991374/
3k,32700000,90.2,3,11,33,"3к, 90.2м², 11/33 этаж, ул. Амурская, 2ак2, Москва, квартира",Локомотив,9,22.3,Монолитные,https://msk.etagi.com/realty/11991412/
3k,29700000,64.0,3,4,7,"3к, 64м², 4/7 этаж, ул. Мытная, 54, Москва, квартира",На карте Шаболовская,11,9.2,Кирпичные,https://msk.etagi.com/realty/11992144/
3k,37000000,95.8,3,17,29,"3к, 95.8м², 17/29 этаж, ул. Ивана Франко, 6, Москва, апартаменты",Кунцевская,2,,Монолитно-Кирпичный,https://msk.etagi.com/realty/11932704/
3k,23250000,58.3,3,6,23,"3к, 58.3м², 6/23 этаж, ул. Каширское шоссе, 65к2, Москва, квартира",Домодедовская,20,12.27,Монолитные,https://msk.etagi.com/realty/11943993/
3k,16150000,59.4,3,3,9,"3к, 59.4м², 3/9 этаж, ул. Кетчерская, 8к1, Москва, квартира",Новогиреево,3,6.0,Панельные,https://msk.etagi.com/realty/11944555/
3k,24800000,82.0,3,13,14,"3к, 82м², 13/14 этаж, ул. Новомарьинская, 12/12к1, Москва, квартира",На карте Братиславская,12,12.0,Панельные,https://msk.etagi.com/realty/11945148/
3k,16150000,49.6,3,4,9,"3к, 49.6м², 4/9 этаж, ул. Героев Панфиловцев, 9к1, Москва, квартира",Планерная,9,6.0,Панельные,https://msk.etagi.com/realty/11947921/
