source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km
all,12890000.0,50.1,3.0,8.0,12.0,"Москва, ул. Харьковский проезд, 11к2 (19 км до центра)",55.588806,37.639464,Красный строитель,18.0,6.0,косметический ремонт,блочные+кирпич,,2.64,не угловая,,11к2,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12614792/,raw,1.53,geo_recomputed,18.23,1.68,0.23,0.25,0.77,0.37
all,14000000.0,46.0,2.0,1.0,9.0,"Москва, ул. Сахалинская, 4",55.825057,37.817232,Щелковская,25.0,6.0,,панельные,1969.0,2.64,не угловая,"пассажирский, грузовой",4,Двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12615047/,raw,2.05,geo_recomputed,14.98,0.84,0.33,0.11,0.49,0.38
all,8600000.0,22.5,5.0,1.0,12.0,"Москва, ул. Маршала Катукова, 14к1",55.807936,37.405597,Строгино,6.0,5.0,,панельные,,,не угловая,"пассажирский, грузовой",14к1,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12615212/,raw,0.5,geo_recomputed,14.52,1.07,0.19,0.08,0.42,0.15
all,22000000.0,65.0,0.0,3.0,5.0,"Москва, ул. Госпитальный Вал, 5к16",55.774006,37.706092,Электрозаводская,10.0,7.0,косметический ремонт,монолитные,,2.64,не угловая,,5к16,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12615318/,raw,0.79,geo_recomputed,6.16,8.56,0.07,0.2,0.18,0.64
all,19400000.0,42.5,2.0,3.0,8.0,"Москва, ул. Трофимова, 4б",55.701308,37.662228,Автозаводская,7.0,9.0,косметический ремонт,кирпичные,1962.0,2.64,не угловая,"пассажирский, грузовой",4б,Двор,,нет,https://msk.etagi.com/realty/12615473/,raw,0.56,geo_recomputed,6.37,10.52,0.56,0.07,0.26,0.28
all,30300000.0,100.1,4.0,,,"Москва, ул. Фонвизина, 14",55.820678,37.588548,Фонвизинская,3.0,9.0,косметический ремонт,,,,не угловая,,14,Детская площадка,,нет,https://msk.etagi.com/realty/12615474/,raw,0.24,geo_recomputed,7.8,9.13,0.26,0.06,0.46,0.11
all,20700000.0,38.0,1.0,10.0,24.0,"Москва, ул. Кольская, 8",55.860752,37.650451,Свиблово,7.0,9.0,чистовая отделка,монолитный пенобетон,,,не угловая,,8,Детская площадка,,нет,https://msk.etagi.com/realty/12615521/,raw,0.61,geo_recomputed,12.27,3.93,0.71,0.39,0.38,0.25
all,74900000.0,101.0,3.0,2.0,9.0,"Москва, ул. Самотёчная, 5 (2 км до центра)",55.775236,37.618327,Цветной бульвар,5.0,30.0,,кирпичные,2005.0,2.64,не угловая,"пассажирский, грузовой",5,Двор,наземный паркинг,нет,https://msk.etagi.com/realty/12603150/,raw,0.42,geo_recomputed,2.57,13.35,0.47,0.34,0.01,0.12
all,16300000.0,41.0,1.0,10.0,24.0,"Москва, ул. 6-я Радиальная, 7/1к2 (17 км до центра)",55.603565,37.653084,Царицыно,23.0,14.0,,монолитные,2022.0,2.5,не угловая,,7/1к2,Двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12606631/,raw,1.92,geo_recomputed,16.69,3.4,0.37,0.49,0.46,0.12
all,13200000.0,34.7,1.0,9.0,9.0,"Москва, ул. Ясеневая, 10к2",55.598782,37.720295,Домодедовская,15.0,9.0,косметический ремонт,панельные,1976.0,2.5,не угловая,"пассажирский, грузовой",10к2,Двор,,нет,https://msk.etagi.com/realty/12606666/,raw,1.28,geo_recomputed,18.28,0.96,0.08,0.2,0.68,0.17
