price,area_total,rooms,floor,floors_total,latitude,longitude,metro_walk_min,kitchen_area,build_year,ceiling_height,floor_position,yard,playground,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,parking_underground,parking_ground,parking_multilevel,parking_open,elevator_passenger,elevator_cargo,walls_norm_block,walls_norm_brick,walls_norm_monolith,walls_norm_other,walls_norm_panel,walls_norm_unknown,renovation_norm_cosmetic,renovation_norm_good,renovation_norm_no_repair,renovation_norm_other,renovation_norm_unknown
27985000.0,45.0,1.0,12.0,29.0,55.720023,37.688782,7.0,9.0,2023.0,3.0,не угловая,Двор,нет,raw,0.59,geo_recomputed,5.81,9.19,1.07,0.09,0.41,0.37,621888.8888888889,1,0,0,0,1,1,False,False,True,False,False,False,True,False,False,False,False
17820000.0,27.0,0.0,17.0,26.0,55.856124,37.555723,5.0,5.0,,,не угловая,Двор,нет,raw,0.45,geo_recomputed,12.15,5.43,0.63,0.71,0.48,0.13,660000.0,1,1,0,0,0,0,False,False,True,False,False,False,False,False,False,False,True
18000000.0,45.6,2.0,5.0,12.0,55.712812,37.485367,11.0,6.7,,2.5,не угловая,Двор,нет,raw,0.92,geo_recomputed,9.26,5.16,0.28,0.18,0.37,0.47,394736.84210526315,0,1,0,0,1,0,False,False,False,False,True,False,True,False,False,False,False
28700000.0,78.3,3.0,6.0,25.0,55.632057,37.754116,8.0,9.0,2000.0,2.7,не угловая,Двор,есть,raw,0.68,geo_recomputed,15.93,2.36,0.27,0.24,0.75,0.16,366538.9527458493,0,1,0,0,0,0,False,False,True,False,False,False,False,False,False,False,True
14500000.0,35.0,1.0,24.0,24.0,55.848427,37.560368,6.0,14.0,,,не угловая,Детская площадка,нет,geo,0.52,geo_recomputed,11.24,6.28,0.59,0.88,1.04,0.31,414285.71428571426,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False
28000000.0,63.5,2.0,15.0,33.0,55.760454,37.737767,8.0,12.5,,2.7,не угловая,Двор,нет,raw,0.7,geo_recomputed,7.7,6.57,0.32,0.16,0.24,0.29,440944.88188976375,0,1,0,0,1,0,False,False,False,True,False,False,False,False,False,False,True
19700000.0,57.8,2.0,7.0,17.0,55.852192,37.345733,6.0,10.1,,2.64,не угловая,Двор,есть,raw,0.49,geo_recomputed,20.2,2.92,0.26,0.13,0.16,0.28,340830.4498269896,0,1,0,0,1,1,False,False,False,False,True,False,False,True,False,False,False
20000000.0,43.9,2.0,7.0,26.0,55.764014,37.798268,20.0,4.0,,2.64,не угловая,Двор,нет,raw,1.66,geo_recomputed,11.5,2.79,0.6,0.54,0.19,0.37,455580.86560364463,0,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False
11000000.0,35.0,1.0,10.0,14.0,55.67459,37.806129,34.0,9.5,1972.0,2.64,не угловая,Двор,есть,raw,2.8,geo_recomputed,14.73,1.78,0.21,0.13,0.13,0.08,314285.71428571426,0,1,0,0,1,1,False,False,False,True,False,False,False,False,True,False,False
24440000.0,50.0,2.0,14.0,25.0,55.71518,37.796104,3.0,9.0,,,не угловая,Двор,нет,raw,0.24,geo_recomputed,12.03,2.56,0.21,0.15,0.31,0.12,488800.0,0,1,0,0,1,1,False,False,False,False,True,False,False,False,False,False,True
18600000.0,50.1,2.0,6.0,25.0,55.803757,37.351105,17.0,12.0,,2.7,не угловая,Двор,нет,geo,1.41,geo_recomputed,17.51,1.93,0.41,0.31,1.88,2.09,371257.4850299401,1,0,0,0,0,0,False,True,False,False,False,False,True,False,False,False,False
