source_group,price,area_total,kitchen_area,price_per_m2,rooms,floor,floors_total,address,metro,metro_walk_min,walls,walls_clean,link,address_raw,metro_raw
3k,75000000,120.4,23.8,622923.5880398671,3.0,30.0,35.0,"ул. Шмитовский проезд, 39к8, Москва",Шелепиха Тестовская,6.0,Монолитно-Кирпичный,монолит,https://msk.etagi.com/realty/582807/,"3к, 120.4м², 30/35 этаж, ул. Шмитовский проезд, 39к8, Москва, квартира",Шелепиха Тестовская
3k,21200000,64.0,10.0,331250.0,3.0,9.0,9.0,"ул. 8-я улица Текстильщиков, 2к2, Москва",Текстильщики,9.0,Блоки железобетонные,железобетон,https://msk.etagi.com/realty/12217961/,"3к, 64м², 9/9 этаж, ул. 8-я улица Текстильщиков, 2к2, Москва, квартира",На карте Текстильщики
3k,23500000,72.3,9.6,325034.57814661134,3.0,14.0,14.0,"ул. 3-й Нижнелихоборский проезд, 16к1, Москва",Окружная,3.0,Блочные+Кирпич,кирпич,https://msk.etagi.com/realty/12220543/,"3к, 72.3м², 14/14 этаж, ул. 3-й Нижнелихоборский проезд, 16к1, Москва, квартира",Окружная
3k,37000000,100.0,10.0,370000.0,3.0,5.0,5.0,"ул. 1-я улица Машиностроения, 4к1, Москва",Дубровка,8.0,Монолитно-Кирпичный,монолит,https://msk.etagi.com/realty/12220747/,"3к, 100м², 5/5 этаж, ул. 1-я улица Машиностроения, 4к1, Москва, квартира",Дубровка
3k,18100000,51.1,6.0,354207.43639921723,3.0,3.0,9.0,"ул. Ленская, 3, Москва",Бабушкинская,11.0,Панельные,панель,https://msk.etagi.com/realty/12221629/,"3к, 51.1м², 3/9 этаж, ул. Ленская, 3, Москва, квартира",Бабушкинская
3k,58000000,110.0,16.0,527272.7272727273,3.0,3.0,16.0,"ул. 1-я улица Бухвостова, 2к3, Москва",Преображенская площадь,6.0,Монолитно-Кирпичный,монолит,https://msk.etagi.com/realty/12222086/,"3к, 110м², 3/16 этаж, ул. 1-я улица Бухвостова, 2к3, Москва, квартира",Преображенская площадь
3k,28200000,56.2,5.3,501779.35943060496,3.0,4.0,9.0,"ул. Кутузовский проспект, 15, Москва",Выставочная Киевская,11.0,Кирпичные,кирпич,https://msk.etagi.com/realty/12224894/,"3к, 56.2м², 4/9 этаж, ул. Кутузовский проспект, 15, Москва, квартира",На карте Выставочная Киевская
3k,21800000,72.0,10.0,302777.77777777775,3.0,,,,Бабушкинская,23.0,,,https://msk.etagi.com/realty/12183056/,Посмотреть 8 фото,Бабушкинская
3k,32000000,120.0,20.0,266666.6666666667,3.0,8.0,11.0,"ул. Генерала Белобородова, 23, Москва",Волоколамская Пенягино,20.0,Монолитно-Каркасные,монолит,https://msk.etagi.com/realty/12183321/,"3к, 120м², 8/11 этаж, ул. Генерала Белобородова, 23, Москва, квартира",На карте Волоколамская Пенягино
3k,15350000,57.5,10.0,266956.52173913043,3.0,3.0,9.0,"ул. Грайвороновская, 18к2, Москва",Текстильщики,17.0,Сборно-монолитный железобетонный каркас,монолит,https://msk.etagi.com/realty/12183766/,"3к, 57.5м², 3/9 этаж, ул. Грайвороновская, 18к2, Москва, квартира",Текстильщики
3k,36500000,74.7,23.0,488621.15127175365,3.0,57.0,59.0,"ул. Верейская, 29с34, Москва",Давыдково,15.0,Монолитно-Каркасные,монолит,https://msk.etagi.com/realty/12184143/,"3к, 74.7м², 57/59 этаж, ул. Верейская, 29с34, Москва, квартира",Давыдково
3k,23750000,89.8,9.0,264476.61469933187,3.0,8.0,18.0,"ул. 6-я Радиальная, 7/6к3, Москва",Покровское,23.0,Монолитные,монолит,https://msk.etagi.com/realty/12184209/,"3к, 89.8м², 8/18 этаж, ул. 6-я Радиальная, 7/6к3, Москва, квартира",Покровское
3k,18600000,58.7,6.0,316865.4173764906,3.0,3.0,9.0,"ул. Бажова, 15к2, Москва",Ростокино,5.0,Панельные,панель,https://msk.etagi.com/realty/12184667/,"3к, 58.7м², 3/9 этаж, ул. Бажова, 15к2, Москва, квартира",Ростокино
3k,45900000,80.0,11.0,573750.0,3.0,3.0,9.0,"ул. Ленинградский проспект, 78к1, Москва",Метро,1.0,Монолитные,монолит,https://msk.etagi.com/realty/12143642/,"3к, 80м², 3/9 этаж, ул. Ленинградский проспект, 78к1, Москва, квартира",Метро Сокол в
3k,54000000,94.0,9.0,574468.085106383,3.0,7.0,31.0,"ул. Василия Ланового, 5, Москва",Матвеевская Аминьевская,9.0,"Кирпичные, монолитно-каркасные",монолит,https://msk.etagi.com/realty/12147600/,"3к, 94м², 7/31 этаж, ул. Василия Ланового, 5, Москва, квартира",На карте Матвеевская Аминьевская
3k,28400000,68.0,18.0,417647.0588235294,3.0,9.0,24.0,"ул. Бартеневская, 18к2, Москва",Бунинская аллея,15.0,Монолитные,монолит,https://msk.etagi.com/realty/12147663/,"3к, 68м², 9/24 этаж, ул. Бартеневская, 18к2, Москва, квартира",Бунинская аллея
3k,43430000,77.0,10.1,564025.974025974,3.0,9.0,12.0,"ул. Посланников переулок, 6, Москва",Бауманская,5.0,Монолитные,монолит,https://msk.etagi.com/realty/12147813/,"3к, 77м², 9/12 этаж, ул. Посланников переулок, 6, Москва, квартира",Бауманская
3k,54900000,80.5,26.0,681987.5776397516,3.0,21.0,27.0,"ул. Аминьевское шоссе, 4дк2, Москва",Аминьевская,5.0,Монолитные,монолит,https://msk.etagi.com/realty/12147939/,"3к, 80.5м², 21/27 этаж, ул. Аминьевское шоссе, 4дк2, Москва, квартира",На карте Аминьевская
3k,25200000,58.3,9.0,432246.99828473415,3.0,3.0,5.0,"ул. Ботаническая, 3, Москва",Останкино,9.0,Блочные,блочные,https://msk.etagi.com/realty/12148233/,"3к, 58.3м², 3/5 этаж, ул. Ботаническая, 3, Москва, квартира",Останкино
3k,29000000,84.0,8.0,345238.09523809527,3.0,,,"ул. Мещерякова, 4к2, Москва",Тушинская,15.0,,,https://msk.etagi.com/realty/12090429/,"3к, 84м², 4 этаж, ул. Мещерякова, 4к2, Москва, квартира",Тушинская
3k,20300000,72.0,10.6,281944.44444444444,3.0,9.0,17.0,"ул. Воронежская, 52к1, Москва",Зябликово,12.0,Панельные,панель,https://msk.etagi.com/realty/12090542/,"3к, 72м², 9/17 этаж, ул. Воронежская, 52к1, Москва, квартира",Зябликово
3k,35000000,82.4,10.0,424757.281553398,3.0,7.0,27.0,,,,Монолитно-Кирпичный,монолит,https://msk.etagi.com/realty/12092562/,Посмотреть 6 фото,
3k,39000000,64.7,10.0,602782.0710973724,3.0,9.0,16.0,"ул. Загородное шоссе, 9к1, Москва",,,Кирпичные,кирпич,https://msk.etagi.com/realty/12096963/,"3к, 64.7м², 9/16 этаж, ул. Загородное шоссе, 9к1, Москва, квартира",
3k,50000000,130.0,18.0,384615.3846153846,3.0,,,"ул. 1-я Владимирская, 3к1, Москва",Перово,20.0,,,https://msk.etagi.com/realty/12098713/,"3к, 130м², 4 этаж, ул. 1-я Владимирская, 3к1, Москва, квартира",Перово
3k,18500000,64.0,8.0,289062.5,3.0,4.0,9.0,"ул. Шипиловский проезд, 71, Москва",Домодедовская,24.0,Панельные,панель,https://msk.etagi.com/realty/12100246/,"3к, 64м², 4/9 этаж, ул. Шипиловский проезд, 71, Москва, квартира",Домодедовская
3k,67500000,79.0,9.0,854430.3797468354,3.0,29.0,52.0,"ул. Мичуринский проспект, 56, Москва",Мичуринский проспект,12.0,Монолитные,монолит,https://msk.etagi.com/realty/12038402/,"3к, 79м², 29/52 этаж, ул. Мичуринский проспект, 56, Москва, квартира",Мичуринский проспект
3k,42000000,58.5,26.64,717948.717948718,3.0,10.0,20.0,"ул. Большая Филёвская, 3к4, Москва",Фили,5.0,Монолитные,монолит,https://msk.etagi.com/realty/12038941/,"3к, 58.5м², 10/20 этаж, ул. Большая Филёвская, 3к4, Москва, квартира",На карте Фили
3k,72000000,83.4,10.0,863309.3525179855,3.0,8.0,9.0,"ул. Студенческая, 44/28, Москва",Кутузовская,5.0,Кирпичные,кирпич,https://msk.etagi.com/realty/12039197/,"3к, 83.4м², 8/9 этаж, ул. Студенческая, 44/28, Москва, квартира",На карте Кутузовская
3k,28100000,75.7,8.4,371202.11360634083,3.0,2.0,14.0,"ул. Рублёвское шоссе, 18к1, Москва",,,Панельные,панель,https://msk.etagi.com/realty/12039547/,"3к, 75.7м², 2/14 этаж, ул. Рублёвское шоссе, 18к1, Москва, квартира",
3k,9000000,61.3,5.9,146818.9233278956,3.0,1.0,12.0,"ул. Бирюлёвская, 26, Москва",Покровское,32.0,Монолитные,монолит,https://msk.etagi.com/realty/12040505/,"3к, 61.3м², 1/12 этаж, ул. Бирюлёвская, 26, Москва, квартира",Покровское
3k,24000000,82.0,12.0,292682.9268292683,3.0,12.0,22.0,"ул. Пятницкое шоссе, 12к3, Москва",,10.0,Панельные,панель,https://msk.etagi.com/realty/12041425/,"3к, 82м², 12/22 этаж, ул. Пятницкое шоссе, 12к3, Москва, квартира",До станции метро Волоколамская всего
